INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,ZipCode
212516310,04/29/2020,13:40:00,BROOKLYN,67,0,,False,,,,18-24,M,BLACK,1006605,254113,40.864136085,-73.91918021,POINT (-73.91918020999998 40.86413608500004),10034
216511815,08/12/2020,20:19:00,BROOKLYN,69,0,PVT HOUSE,False,,,,18-24,M,BLACK,991573,191853,40.693274123,-73.973594055,POINT (-73.97359405499998 40.69327412300004),11205
217076772,08/26/2020,14:20:00,QUEENS,103,0,,False,18-24,F,BLACK,18-24,F,BLACK HISPANIC,1030454,247710,40.8464691820001,-73.83300191,POINT (-73.83300190999995 40.84646918200008),10461
219402624,10/19/2020,07:03:00,BRONX,52,0,SOCIAL CLUB/POLICY LOCATI,False,,,,18-24,F,WHITE HISPANIC,998829,226859,40.7893478930001,-73.947352413,POINT (-73.94735241299998 40.78934789300007),10029
207868257,01/13/2020,13:52:00,BRONX,42,0,,False,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1000960,172565,40.6403201140001,-73.939791511,POINT (-73.93979151099995 40.640320114000076),11203
214693509,06/26/2020,15:53:00,MANHATTAN,23,2,,False,<18,M,BLACK,25-44,U,BLACK HISPANIC,1001964,186902,40.679670066,-73.936136211,POINT (-73.93613621099996 40.67967006600002),11233
217704610,09/10/2020,01:39:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,True,,,,25-44,F,BLACK,938373,169290,40.6312278900001,-74.165284272,POINT (-74.16528427199995 40.63122789000005),10303
214183639,06/12/2020,23:00:00,BRONX,47,0,,False,,,,<18,M,BLACK,1015477,257492,40.873383479,-73.8870890699999,POINT (-73.88708906999993 40.87338347900004),10468
214183639,06/12/2020,23:00:00,BRONX,47,0,,False,,,,18-24,M,BLACK,1030892,255600,40.868122531,-73.8313639099999,POINT (-73.83136390999994 40.86812253100004),10475
217778055,09/12/2020,01:33:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,True,18-24,M,BLACK,25-44,M,BLACK HISPANIC,1021531,244069,40.836517891,-73.865273347,POINT (-73.86527334699997 40.83651789100002),10460
221766735,12/11/2020,18:48:00,BROOKLYN,67,0,,False,25-44,M,BLACK,25-44,M,BLACK,1009656,181287,40.664239422,-73.908425011,POINT (-73.90842501099996 40.664239422000044),11212
215485982,07/18/2020,01:15:00,BROOKLYN,73,0,,False,,,,45-64,M,BLACK,1007016,182405,40.6673152640001,-73.917937162,POINT (-73.91793716199999 40.66731526400008),11212
216928800,08/22/2020,22:25:00,BROOKLYN,73,0,,False,,,,25-44,M,WHITE,1011539,251548,40.8570820620001,-73.9013525079999,POINT (-73.90135250799993 40.85708206200008),10453
220411600,11/12/2020,01:30:00,QUEENS,105,0,,False,,,,25-44,M,BLACK,1003313,176413,40.650877291,-73.931302247,POINT (-73.93130224699998 40.65087729100002),11203
